1,ICBC,China,$175.9 B,$45.2 B,$4,034.5 B,$305.1 B,https://www.forbes.com/companies/icbc/?list=global2000
2,JPMorgan Chase,United States,$132.9 B,$32.7 B,$2,737.2 B,$368.5 B,https://www.forbes.com/companies/jpmorgan-chase/?list=global2000
3,China Construction Bank,China,$150.3 B,$38.8 B,$3,382.4 B,$225 B,https://www.forbes.com/companies/china-construction-bank/?list=global2000
4,Agricultural Bank of China,China,$137.5 B,$30.9 B,$3,293.1 B,$197 B,https://www.forbes.com/companies/agricultural-bank-of-china/?list=global2000
5,Bank of America,United States,$111.9 B,$28.5 B,$2,377.2 B,$287.3 B,https://www.forbes.com/companies/bank-of-america/?list=global2000
6,Apple,United States,$261.7 B,$59.4 B,$373.7 B,$961.3 B,https://www.forbes.com/companies/apple/?list=global2000
7,Ping An Insurance Group,China,$151.8 B,$16.3 B,$1,038.3 B,$220.2 B,https://www.forbes.com/companies/ping-an-insurance/?list=global2000
8,Bank of China,China,$126.7 B,$27.5 B,$3,097.6 B,$143 B,https://www.forbes.com/companies/bank-of-china/?list=global2000
9,Royal Dutch Shell,Netherlands,$382.6 B,$23.3 B,$399.2 B,$264.9 B,https://www.forbes.com/companies/royal-dutch-shell/?list=global2000
10,Wells Fargo,United States,$101.5 B,$23.1 B,$1,887.8 B,$214.7 B,https://www.forbes.com/companies/wells-fargo/?list=global2000
11,ExxonMobil,United States,$279.2 B,$20.8 B,$346.2 B,$343.4 B,https://www.forbes.com/companies/exxon-mobil/?list=global2000
12,AT&amp;T,United States,$170.8 B,$19.4 B,$531.9 B,$233.3 B,https://www.forbes.com/companies/att/?list=global2000
13,Samsung Electronics,South Korea,$221.5 B,$39.9 B,$304.1 B,$272.4 B,https://www.forbes.com/companies/samsung-electronics/?list=global2000
14,Citigroup,United States,$100 B,$17.9 B,$1,958.4 B,$161.1 B,https://www.forbes.com/companies/citigroup/?list=global2000
15,Toyota Motor,Japan,$272.1 B,$17.2 B,$465.6 B,$176.6 B,https://www.forbes.com/companies/toyota-motor/?list=global2000
16,Microsoft,United States,$118.2 B,$33.5 B,$258.9 B,$946.5 B,https://www.forbes.com/companies/microsoft/?list=global2000
17,Alphabet,United States,$137 B,$30.7 B,$232.8 B,$863.2 B,https://www.forbes.com/companies/alphabet/?list=global2000
