1,ICBC,China,$175.9 B,$45.2 B,$4,034.5 B,$305.1 B,https://www.forbes.com/companies/icbc/?list=global2000,Major Banks
2,JPMorgan Chase,United States,$132.9 B,$32.7 B,$2,737.2 B,$368.5 B,https://www.forbes.com/companies/jpmorgan-chase/?list=global2000,Major Banks
3,China Construction Bank,China,$150.3 B,$38.8 B,$3,382.4 B,$225 B,https://www.forbes.com/companies/china-construction-bank/?list=global2000,Major Banks
4,Agricultural Bank of China,China,$137.5 B,$30.9 B,$3,293.1 B,$197 B,https://www.forbes.com/companies/agricultural-bank-of-china/?list=global2000,Regional Banks
5,Bank of America,United States,$111.9 B,$28.5 B,$2,377.2 B,$287.3 B,https://www.forbes.com/companies/bank-of-america/?list=global2000,Major Banks
6,Apple,United States,$261.7 B,$59.4 B,$373.7 B,$961.3 B,https://www.forbes.com/companies/apple/?list=global2000,Computer Hardware
7,Ping An Insurance Group,China,$151.8 B,$16.3 B,$1,038.3 B,$220.2 B,https://www.forbes.com/companies/ping-an-insurance/?list=global2000,Diversified Insurance
8,Bank of China,China,$126.7 B,$27.5 B,$3,097.6 B,$143 B,https://www.forbes.com/companies/bank-of-china/?list=global2000,Major Banks
9,Royal Dutch Shell,Netherlands,$382.6 B,$23.3 B,$399.2 B,$264.9 B,https://www.forbes.com/companies/royal-dutch-shell/?list=global2000,Oil & Gas Operations
10,Wells Fargo,United States,$101.5 B,$23.1 B,$1,887.8 B,$214.7 B,https://www.forbes.com/companies/wells-fargo/?list=global2000,Major Banks
11,ExxonMobil,United States,$279.2 B,$20.8 B,$346.2 B,$343.4 B,https://www.forbes.com/companies/exxon-mobil/?list=global2000,Oil & Gas Operations
12,AT&amp;T,United States,$170.8 B,$19.4 B,$531.9 B,$233.3 B,https://www.forbes.com/companies/att/?list=global2000,Telecommunications services
13,Samsung Electronics,South Korea,$221.5 B,$39.9 B,$304.1 B,$272.4 B,https://www.forbes.com/companies/samsung-electronics/?list=global2000,Semiconductors
14,Citigroup,United States,$100 B,$17.9 B,$1,958.4 B,$161.1 B,https://www.forbes.com/companies/citigroup/?list=global2000,Major Banks
15,Toyota Motor,Japan,$272.1 B,$17.2 B,$465.6 B,$176.6 B,https://www.forbes.com/companies/toyota-motor/?list=global2000,Auto & Truck Manufacturers
16,Microsoft,United States,$118.2 B,$33.5 B,$258.9 B,$946.5 B,https://www.forbes.com/companies/microsoft/?list=global2000,Software & Programming
17,Alphabet,United States,$137 B,$30.7 B,$232.8 B,$863.2 B,https://www.forbes.com/companies/alphabet/?list=global2000,Computer Services
18,Volkswagen Group,Germany,$278.2 B,$14 B,$553.5 B,$92 B,https://www.forbes.com/companies/volkswagen-group/?list=global2000,Auto & Truck Manufacturers
19,Chevron,United States,$158.7 B,$14.8 B,$253.9 B,$228.3 B,https://www.forbes.com/companies/chevron/?list=global2000,Oil & Gas Operations
20,Verizon Communications,United States,$130.9 B,$15.5 B,$264.8 B,$239.7 B,https://www.forbes.com/companies/verizon-communications/?list=global2000,Telecommunications services
21,HSBC Holdings,United Kingdom,$64.3 B,$13.7 B,$2,558.1 B,$175.5 B,https://www.forbes.com/companies/hsbc-holdings/?list=global2000,Major Banks
22,PetroChina,China,$322.8 B,$8 B,$354.3 B,$198.7 B,https://www.forbes.com/companies/petrochina/?list=global2000,Oil & Gas Operations
23,Allianz,Germany,$118.8 B,$8.8 B,$1,060.2 B,$102.3 B,https://www.forbes.com/companies/allianz/?list=global2000,Diversified Insurance
24,BP,United Kingdom,$299.1 B,$9.3 B,$282.2 B,$149.5 B,https://www.forbes.com/companies/bp/?list=global2000,Oil & Gas Operations
25,Total,France,$184.2 B,$11.4 B,$256.8 B,$149.5 B,https://www.forbes.com/companies/total/?list=global2000,Oil & Gas Operations
26,Berkshire Hathaway,United States,$247.8 B,$4 B,$707.8 B,$516.4 B,https://www.forbes.com/companies/berkshire-hathaway/?list=global2000,Investment Services
27,China Mobile,Hong Kong,$111.8 B,$17.9 B,$223.7 B,$197.6 B,https://www.forbes.com/companies/china-mobile/?list=global2000,Telecommunications services
28,Amazon,United States,$232.9 B,$10.1 B,$162.6 B,$916.1 B,https://www.forbes.com/companies/amazon/?list=global2000,Internet & Catalog Retail
29,Walmart,United States,$514.4 B,$6.7 B,$219.3 B,$296.1 B,https://www.forbes.com/companies/walmart/?list=global2000,Discount Stores
30,Santander,Spain,$89.5 B,$9.2 B,$1,668.2 B,$84.1 B,https://www.forbes.com/companies/santander/?list=global2000,Major Banks
31,China Merchants Bank,China,$54.9 B,$12.3 B,$982.5 B,$130.4 B,https://www.forbes.com/companies/china-merchants-bank/?list=global2000,Regional Banks
32,UnitedHealth Group,United States,$231.4 B,$12.6 B,$161.2 B,$212.8 B,https://www.forbes.com/companies/unitedhealth-group/?list=global2000,Managed Health Care
33,Comcast,United States,$94.5 B,$11.7 B,$251.7 B,$192 B,https://www.forbes.com/companies/comcast/?list=global2000,Broadcasting & Cable
34,BNP Paribas,France,$101.6 B,$8.4 B,$2,333 B,$68.7 B,https://www.forbes.com/companies/bnp-paribas/?list=global2000,Major Banks
35,Sinopec,China,$399.7 B,$9.5 B,$233 B,$105.6 B,https://www.forbes.com/companies/sinopec/?list=global2000,Oil & Gas Operations
36,Softbank,Japan,$86.2 B,$13.9 B,$332.3 B,$112.4 B,https://www.forbes.com/companies/softbank/?list=global2000,Telecommunications services
37,Daimler,Germany,$197.4 B,$8.6 B,$321.9 B,$71.3 B,https://www.forbes.com/companies/daimler/?list=global2000,Auto & Truck Manufacturers
37,Johnson &amp; Johnson,United States,$81.6 B,$14.7 B,$153 B,$366.2 B,https://www.forbes.com/companies/johnson-johnson/?list=global2000,Medical Equipment & Supplies
39,Bank of Communications,China,$64.8 B,$11.2 B,$1,388.2 B,$63.6 B,https://www.forbes.com/companies/bank-of-communications/?list=global2000,Major Banks
40,Gazprom,Russia,$128.4 B,$18.9 B,$305.9 B,$59.9 B,https://www.forbes.com/companies/gazprom/?list=global2000,Oil & Gas Operations
41,RBC,Canada,$46.3 B,$9.6 B,$1,040.3 B,$114.9 B,https://www.forbes.com/companies/rbc/?list=global2000,Major Banks
42,Nestle,Switzerland,$93.4 B,$10.4 B,$139 B,$281.3 B,https://www.forbes.com/companies/nestle/?list=global2000,Food Processing
43,Mitsubishi UFJ Financial,Japan,$53.7 B,$9 B,$2,799.9 B,$65 B,https://www.forbes.com/companies/mitsubishi-ufj-financial/?list=global2000,Major Banks
44,Intel,United States,$70.8 B,$21.1 B,$128 B,$263.1 B,https://www.forbes.com/companies/intel/?list=global2000,Semiconductors
45,Goldman Sachs Group,United States,$51 B,$9.9 B,$925 B,$75.5 B,https://www.forbes.com/companies/goldman-sachs-group/?list=global2000,Investment Services
46,TD Bank Group,Canada,$42.5 B,$8.7 B,$1,007 B,$103.8 B,https://www.forbes.com/companies/td-bank-group/?list=global2000,Major Banks
47,Sberbank,Russia,$51.6 B,$13.3 B,$449.7 B,$78.5 B,https://www.forbes.com/companies/sberbank/?list=global2000,Regional Banks
48,Morgan Stanley,United States,$50.9 B,$8.5 B,$876 B,$80.2 B,https://www.forbes.com/companies/morgan-stanley/?list=global2000,Investment Services
49,Boeing,United States,$101.1 B,$10.5 B,$117.4 B,$214.5 B,https://www.forbes.com/companies/boeing/?list=global2000,Aerospace & Defense
50,Petrobras,Brazil,$95.7 B,$7.1 B,$222 B,$91.2 B,https://www.forbes.com/companies/petrobras/?list=global2000,Oil & Gas Operations
51,Nippon Telegraph &amp; Tel,Japan,$107.5 B,$8.7 B,$199.6 B,$80.2 B,https://www.forbes.com/companies/nippon-tel-tel/?list=global2000,Telecommunications services
